;Periods;Total Consumption;AC;Dish washer;Washing Machine;Dryer;Water heater;TV;Microwave;Kettle;Lighting;Refrigerator
25220;69;0,590032346228858;0;0;0,146714285714285;0;0;0;0;0;0;0
25221;70;1,21188879192152;0;0;0;0;0;0,12754375;0;0;0;0
25222;71;1,30952783751046;0;0;0;0;0;0,12645625;0;0;0;0,14
25223;72;1,23504590259518;0;0;0;0;0,346;0,1262375;0;0;0;0,14
25224;73;0,553333065570602;0;0;0;0;0,207;0,12539375;0;0;0;0
25225;74;0,685640066320107;0;0;0;0;0,373;0,12666875;0;0;0;0
25226;75;0,678598137928117;0;0;0;0;0,079;0,12691875;0;0;0;0
25227;76;0,595449214222696;0;0;0;0;0;0,1268375;0;0;0;0,14
25228;77;0,580011140440256;0;0;0;0;0;0,12674375;0;0;0;0
25229;78;0,710422237391918;0;0;0;0;0;0,12675;0;0;0;0
25230;79;0,462600526673808;0;0;0;0;0;0,124775;0;0;0;0,14
25231;80;0,303073764255264;0;0;0;0;0;0,1227375;0;0;0;0
25232;81;0,604657889812222;0;0;0;0;0;0,12556875;0;0;0;0
25233;82;0,408973533534806;0;0;0;0;0;0,12461875;0;0;0;0,14
25234;83;0,339637623213674;0;0;0;0;0;0,12665;0;0;0;0,14
25235;84;0,441745584897529;0;0;0;0;0;0,12643125;0;0;0;0
25236;85;0,362388468787795;0;0;0;0;0;0,12611875;0;0;0;0
25237;86;0,251613518313798;0;0;0;0;0;0,1261;0;0;0;0
25238;87;0,347492081804739;0;0;0;0;0;0;0;0;0;0,14
25239;88;0,252696891912566;0;0;0;0;0;0;0;0;0;0
25240;89;0,749423686947556;0;0;0;0;0;0;0;0;0;0
25241;90;2,05082622246725;0;0;0;0;0;0;2,049;0;0;0
25242;91;1,5462449688412;0;1,35884375;0;0;0;0;0;0;0;0
25243;92;1,5880902740936;0;0,76154375;0;0;0;0;0;0;0;0
25244;93;1,63914425493553;0;0,6046375;0;0;0;0;0;0;0;0
25245;94;1,45144977894903;0;0,5823875;0;0;0;0;0;0;0;0
25246;95;1,4472517062538;0;0,06430625;0;0;0;0;0;0;0;0
25247;96;1,59012159959129;0;0;0;0;0;0;0;0;0;0
25248;1;1,67909365639009;0;0;0;0;0;0;0;0;0;0
25249;2;1,00848539875288;0;0;0;0;0;0;0;0;0;0
25250;3;0,627137891986651;0;0;0;0;0;0;0;0;0;0
25251;4;0,497539325234066;0;0;0;0;0;0;0;0;0;0,14
25252;5;0,498622698832833;0;0;0;0;0;0;0;0;0;0
25253;6;2,20398816499304;0;0;0;0;0;0;0;0;0;0
25254;7;4,61815080814701;0;0;0;0;0,177;0;0;0;0;0,14
25255;8;3,16629476409845;0;0;0;0;1,006;0;0;0;0;0,14
25256;9;2,05367007816402;0;0;0;0;1,103;0;0;0;0;0
25257;10;1,39145796591726;0;0;0;0;0,964;0;0;0;0;0
25258;11;2,81880268229371;0;0;0;0;0,924;0;0;0;0;0
25259;12;4,22041727569942;0;0;0;0;0,951;0;0;0;0;0,14
25260;13;2,81257328410079;0;0;0;0;1,067;0;0;0;0;0
25261;14;2,80038533111466;0;0;0;0;0,995;0;0;0;0;0
25262;15;4,11343413282111;0;0;0;0;0,972;0;0;0;0;0,14
25263;16;2,38247396539002;0;0;0;0;1,019;0;0;0;0;0
25264;17;2,39222432777892;0;0;0;0;0,991;0;0;0;0;0
25265;18;2,49825951875831;0;0;0;0;0,312;0;0;0;0;0,14
25266;19;1,97417754035444;0;0;0;0;0;0;0;0;0;0,14
25267;20;1,69263582637468;0;0;0;0;0;0;0;0;0;0
25268;21;1,73624161372508;0;0;0;0;0;0;0;0;0;0
25269;22;1,48137797461498;0;0;0;0;0;0;0;0;0;0
25270;23;0,737506577361111;0;0;0;0;0;0;0;0;0;0,14
25271;24;0,152755677426245;0;0;0;0;0;0;0;0;0;0
25272;25;0,139213507441649;0;0;0;0;0;0;0;0;0;0
25273;26;0,265697375097778;0;0;0;0;0;0;0;0;0;0
25274;27;0,115785553368298;0;0;0;0;0;0;0;0;0;0
25275;28;0,194600982678648;0;0;0;0;0;0;0;0;0;0
25276;29;0,197986525174797;0;0;0;0;0;0;0;0;0;0
25277;30;0,110910372173843;0;0;0;0;0;0;0;0;0;0
25278;31;0,235092070932591;0;0;0;0;0;0;0;0;0;0
25279;32;0,153432785925475;0;0;0;0;0;0;0;0;0;0
25280;33;0,1358279649455;0;0;0;0;0;0;0;0;0;0
25281;34;0,235227492632437;0;0;0;0;0;0;0;0;0;0
25282;35;0,126213024256437;0;0;0;0;0;0;0;0;0;0
25283;36;0,182548451392357;0;0;0;0;0;0;0;0;0;0
25284;37;0,199747007272795;0;0;0;0;0;0;0;0;0;0,14
25285;38;0,130411096951662;0;0;0;0;0;0;0;0;0;0
25286;39;0,192569657180958;0;0;0;0;0;0;0;0;0;0
25287;40;0,175912788099905;0;0;0;0;0;0;0;0;0;0,14
25288;41;0,157766280320546;0;0;0;0;0;0;0;0;0;0,14
25289;42;0,193653030779726;0;0;0;0;0;0;0;0;0;0
25290;43;0,146390857533485;0;0;0;0;0;0;0;0;0;0
25291;44;0,166162425710996;0;0;0;0;0;0;0;0;0;0
25292;45;0,216945563153232;0;0;0;0;0;0;0;0;0;0,14
25293;46;0,139619772541187;0;0;0;0;0;0;0;0;0;0
25294;47;0,171443872004988;0;0;0;0;0;0;0;0;0;0
25295;48;0,2012366459711;0;0;0;0;0;0;0;0;0;0,14
25296;49;0,23712339643028;0;0;0;0;0;0,0406133333333333;0;0;0;0
25297;50;0,255269904209639;0;0;0;0;0;0,0647666666666666;0;0;0;0
25298;51;0,234144119033669;0;0;0;0;0;0,0439333333333333;0;0;0;0,14
25299;52;0,319188946536933;0;0;0;0;0;0,0720066666666666;0;0;0;0,14
25300;53;1,19103385014524;0;0;0,12403;0;0;0,108213333333333;0;0;0;0
25301;54;3,00243450728483;0;0;1,87124;0;0;0,107893333333333;0;0;0;0
25302;55;2,0945674315175;0;0;0,415029999999999;0;0;0,0648466666666666;1,16228205128205;0;0;0
25303;56;1,9504787428814;0;0,004325;0,40568;1,399;0;0;0;0;0;0,14
25304;57;2,18381033171599;0;1,6877;0,05937;0,151;0;0;0;0;0;0
25305;58;2,12192261488638;0;0,7597;0,07972;0;0;0;0;0;0;0
25306;59;1,51699388167447;0;0,9107375;0;0;0;0;0;0;0;0
25307;60;1,27133891815389;0;0,50386875;0;0;0,346;0;0;0;0;0
25308;61;1,30397554781677;0;0,06599375;0;0;0,207;0;0;0;0;0
25309;62;1,27729747294712;0;0;0;0;0,373;0;0;0;0;0
25310;63;1,25414036227346;0;0;0;0;0,079;0;0;0;0;0
25311;64;1,33160157458535;0;0;0;0;0;0;0;0;0;0
25312;65;1,28948542593325;0;0;0;0;0,346;0;0;0;0;0
25313;66;1,24344204798562;0;0;0;0;0,207;0;0;0;0;0
25314;67;0,652055484758309;0;0;0;0;0,373;0,0406133333333333;0;0;0;0
25315;68;0,225206286843836;0;0;0;0;0,079;0,0647666666666666;0;0;0;0
25316;69;0,232112793535979;0;0;0;0;0;0,0439333333333333;0;0;0;0
25317;70;0,231977371836134;0;0;0;0;0;0,0720066666666666;0;0;0;0,14
25318;71;0,218164358451845;0;0;0;0;0;0,108213333333333;0;0;0;0
25319;72;0,25689496460779;0;0;0;0;0;0,107893333333333;0;0;0;0
25320;73;0,222768696246608;0;0;0;0;0;0,0648466666666666;0;0;0;0,14
25321;74;0,208413996062936;0;0;0;0;0;0;0;0;0;0,14
25322;75;0,27233303839023;0;0;0;0;0;0;0;0;0;0
25323;76;0,217487249952616;0;0;0;0;0;0;0;0;0;0
25324;77;0,226018817042911;0;0;0;0;0;0;0;0;0;0
25325;78;0,2448424333215;0;0;0;0;0;0;0;0;0;0,14
25326;79;0,224935443444143;0;0;0;0;0;0;0;0;0;0
25327;80;0,241592312525197;0;0;0;0;0;0;0;0;0;0
25328;81;0,218976888650921;0;0;0;0;0;0;0;0;0;0,14
25329;82;0,22371664814553;0;0;0;0;0;0;0;0;0;0
25330;83;0,266916170396392;0;0;0;0;0;0;0;0;0;0
25331;84;0,198392790274335;0;0;0;0;0;0;0;0;0;0,14
25332;85;0,242133999324581;0;0;0;0;0;0;0;0;0;0,14
